year,selling_price,km_driven,fuel,seller_type,owner,brand
7,0.6,70.0,Petrol,Individual,First Owner,Maruti
7,1.35,50.0,Petrol,Individual,First Owner,Maruti
12,6.0,100.0,Diesel,Individual,First Owner,Hyundai
17,2.5,46.0,Petrol,Individual,First Owner,Datsun
14,4.5,141.0,Diesel,Individual,Second Owner,Honda
7,1.4,125.0,Petrol,Individual,First Owner,Maruti
16,5.5,25.0,Petrol,Individual,First Owner,Hyundai
14,2.4,60.0,Petrol,Individual,Second Owner,Tata
15,8.5,25.0,Petrol,Individual,First Owner,Hyundai
17,3.65,78.0,Other,Individual,First Owner,Maruti
15,2.6,35.0,Petrol,Individual,First Owner,Chevrolet
14,2.5,100.0,Petrol,Individual,First Owner,Tata
18,16.5,25.0,Petrol,Dealer,First Owner,Toyota
7,0.6,70.0,Petrol,Individual,First Owner,Maruti
7,1.35,50.0,Petrol,Individual,First Owner,Maruti
12,6.0,100.0,Diesel,Individual,First Owner,Hyundai
17,2.5,46.0,Petrol,Individual,First Owner,Datsun
14,4.5,141.0,Diesel,Individual,Second Owner,Honda
7,1.4,125.0,Petrol,Individual,First Owner,Maruti
16,5.5,25.0,Petrol,Individual,First Owner,Hyundai
14,2.4,60.0,Petrol,Individual,Second Owner,Tata
15,8.5,25.0,Petrol,Individual,First Owner,Hyundai
17,3.65,78.0,Other,Individual,First Owner,Maruti
15,2.6,35.0,Petrol,Individual,First Owner,Chevrolet
14,2.5,100.0,Petrol,Individual,First Owner,Tata
18,16.5,25.0,Petrol,Dealer,First Owner,Toyota
15,5.85,24.0,Petrol,Dealer,First Owner,Maruti
19,11.95,5.0,Diesel,Dealer,First Owner,Hyundai
13,3.9,33.0,Diesel,Individual,Second Owner,Chevrolet
14,19.64999,28.0,Diesel,Dealer,First Owner,Other
13,14.25,59.0,Diesel,Dealer,First Owner,Mercedes-Benz
18,9.75,4.5,Diesel,Dealer,First Owner,Maruti
11,11.9,175.9,Diesel,Dealer,First Owner,Audi
18,9.3,14.5,Petrol,Dealer,First Owner,Honda
18,5.25,15.0,Petrol,Individual,First Owner,Tata
13,17.35,50.0,Diesel,Dealer,First Owner,Audi
12,13.75,33.8,Diesel,Dealer,Second Owner,Mercedes-Benz
11,4.5,130.4,Diesel,Dealer,Second Owner,Skoda
16,9.0,50.0,Petrol,Individual,First Owner,Toyota
15,13.0,80.0,Diesel,Individual,First Owner,Toyota
19,14.0,10.0,Petrol,Individual,First Owner,Other
10,8.5,119.0,Petrol,Dealer,First Owner,Mercedes-Benz
14,2.29999,60.0,Petrol,Individual,Other,Hyundai
13,15.5,75.8,Diesel,Dealer,Second Owner,BMW
9,12.5,78.0,Diesel,Dealer,Third Owner,Audi
12,6.25,40.0,Diesel,Individual,First Owner,Hyundai
14,10.5,50.0,Diesel,Individual,First Owner,Mahindra
14,5.6,74.0,Diesel,Individual,Second Owner,Honda
14,2.9,64.0,Petrol,Individual,Second Owner,Maruti
12,2.75,60.0,Petrol,Individual,Second Owner,Maruti
9,4.11,120.0,Diesel,Individual,Second Owner,Mahindra
9,1.5,79.0,Petrol,Individual,Third Owner,Hyundai
19,5.0,15.0,Petrol,Individual,First Owner,Hyundai
6,1.0,80.0,Petrol,Individual,First Owner,Maruti
17,7.25,18.5,Diesel,Dealer,First Owner,Maruti
18,4.01,10.2,Petrol,Dealer,First Owner,Maruti
18,7.5,29.0,Diesel,Dealer,First Owner,Hyundai
18,3.1,28.0,Petrol,Dealer,First Owner,Maruti
16,6.65,46.0,Diesel,Dealer,First Owner,Maruti
14,4.65,70.0,Diesel,Dealer,First Owner,Hyundai
12,1.6,60.0,Petrol,Individual,Second Owner,Maruti
-4,2.5,35.0,Diesel,Individual,Second Owner,Mahindra
14,6.75,90.0,Diesel,Dealer,First Owner,Honda
13,3.0,80.0,Petrol,Dealer,First Owner,Maruti
5,0.7,80.0,Diesel,Individual,First Owner,Tata
14,2.4,73.3,Petrol,Dealer,Second Owner,Hyundai
14,5.25,92.0,Diesel,Dealer,First Owner,Toyota
9,1.51,66.764,Petrol,Dealer,Second Owner,Maruti
9,1.4,100.0,Petrol,Individual,First Owner,Maruti
10,2.8,350.0,Diesel,Individual,Second Owner,Chevrolet
11,3.5,230.0,Diesel,Individual,First Owner,Toyota
17,5.7,60.0,Diesel,Individual,First Owner,Mahindra
18,3.0,31.0,Petrol,Individual,First Owner,Hyundai
7,1.0,39.0,Diesel,Individual,First Owner,Tata
9,5.0,120.0,Diesel,Individual,Third Owner,Toyota
14,1.25,166.0,Diesel,Individual,Other,Tata
6,1.3,110.0,Petrol,Individual,Third Owner,Maruti
17,9.25,35.0,Diesel,Individual,First Owner,Ford
18,7.5,60.0,Diesel,Individual,First Owner,Maruti
7,2.0,54.0,Petrol,Individual,Second Owner,Honda
10,2.48,63.0,Petrol,Individual,Second Owner,Hyundai
14,4.5,120.0,Diesel,Individual,Second Owner,Skoda
5,0.8,120.0,Petrol,Individual,Third Owner,Hyundai
14,6.5,76.0,Petrol,Individual,Second Owner,Nissan
15,4.5,80.0,Diesel,Individual,First Owner,Hyundai
19,6.5,25.0,Diesel,Individual,First Owner,Hyundai
16,4.95,11.958,Petrol,Dealer,First Owner,Honda
15,3.71,20.0,Petrol,Dealer,First Owner,Honda
17,10.25,9.0,Petrol,Dealer,First Owner,Hyundai
17,81.5,6.5,Diesel,Dealer,First Owner,Mercedes-Benz
15,7.5,70.0,Diesel,Individual,First Owner,Mahindra
13,6.0,120.0,Diesel,Individual,First Owner,Renault
7,0.8,58.0,Petrol,Dealer,Second Owner,Hyundai
13,3.25,62.2,Diesel,Dealer,First Owner,Mahindra
14,14.7,34.0,Diesel,Dealer,Second Owner,Audi
15,3.5,53.0,Diesel,Individual,Second Owner,Fiat
13,28.0,49.0,Diesel,Dealer,First Owner,Audi
17,2.1,15.0,Petrol,Dealer,Second Owner,Datsun
13,4.5,50.0,Petrol,Individual,First Owner,Volkswagen
13,11.5,53.0,Diesel,Dealer,First Owner,Audi
9,2.1,63.5,Petrol,Dealer,First Owner,Honda
18,45.0,9.8,Petrol,Dealer,First Owner,Mercedes-Benz
17,27.5,13.0,Diesel,Individual,First Owner,BMW
18,19.75,21.0,Diesel,Dealer,First Owner,Other
8,1.75,29.173,Petrol,Dealer,First Owner,Maruti
12,25.0,48.0,Diesel,Dealer,First Owner,BMW
17,6.28,120.0,Diesel,Individual,First Owner,Mahindra
10,6.0,100.0,Diesel,Individual,First Owner,Hyundai
17,3.99,30.0,Petrol,Individual,First Owner,Nissan
